Country,Happiness_Rank,Happiness_Score,Standard Error,GDP_per_Capita,Social_support,Healthy_Life_Expectancy,Freedom,Trust,Generosity,Dystopia_Residual
Bangladesh,109,4.69,0.03,0.40,0.43,0.60,0.41,0.13,0.21,2.52
Iran,110,4.69,0.04,1.01,0.54,0.70,0.30,0.06,0.38,1.69
Ukraine,111,4.68,0.04,0.80,1.20,0.67,0.25,0.03,0.15,1.57
Iraq,112,4.68,0.05,0.99,0.82,0.60,0.00,0.14,0.18,1.95
South Africa,113,4.64,0.05,0.92,1.18,0.28,0.33,0.09,0.12,1.72
Ghana,114,4.63,0.05,0.55,0.68,0.40,0.42,0.04,0.23,2.31
Zimbabwe,115,4.61,0.04,0.27,1.03,0.33,0.26,0.08,0.19,2.44
Liberia,116,4.57,0.11,0.07,0.79,0.34,0.29,0.06,0.24,2.78
India,117,4.57,0.02,0.64,0.38,0.52,0.40,0.08,0.26,2.28
Sudan,118,4.55,0.07,0.52,1.01,0.37,0.10,0.15,0.19,2.21
Haiti,119,4.52,0.07,0.27,0.74,0.39,0.24,0.17,0.46,2.24
Democratic Republic of the Congo,120,4.52,0.04,0.00,1.00,0.10,0.23,0.08,0.25,2.87
Nepal,121,4.51,0.04,0.36,0.86,0.57,0.38,0.06,0.32,1.96
Ethiopia,122,4.51,0.04,0.19,0.60,0.44,0.43,0.15,0.24,2.45
Sierra Leone,123,4.51,0.07,0.33,0.96,0.00,0.41,0.09,0.21,2.51
Mauritania,124,4.44,0.04,0.45,0.87,0.36,0.24,0.17,0.22,2.12
Kenya,125,4.42,0.05,0.36,1.00,0.41,0.42,0.06,0.38,1.79
Djibouti,126,4.37,0.08,0.44,0.59,0.36,0.46,0.28,0.18,2.05
Armenia,127,4.35,0.05,0.77,0.78,0.73,0.20,0.04,0.08,1.76
Botswana,128,4.33,0.05,0.99,1.10,0.05,0.49,0.12,0.10,1.46
Myanmar,129,4.31,0.04,0.27,0.71,0.48,0.44,0.19,0.80,1.42
Georgia,130,4.30,0.04,0.74,0.39,0.73,0.41,0.38,0.06,1.60
Malawi,131,4.29,0.06,0.02,0.41,0.23,0.43,0.07,0.33,2.81
Sri Lanka,132,4.27,0.04,0.84,1.02,0.71,0.54,0.09,0.41,0.67
Cameroon,133,4.25,0.05,0.42,0.89,0.23,0.49,0.06,0.21,1.95
Bulgaria,134,4.22,0.05,1.01,1.11,0.77,0.31,0.01,0.12,0.90
Egypt,135,4.19,0.03,0.88,0.75,0.62,0.17,0.06,0.11,1.60
Yemen,136,4.08,0.04,0.55,0.68,0.40,0.36,0.08,0.09,1.92
Angola,137,4.03,0.05,0.76,0.86,0.17,0.10,0.07,0.12,1.95
Mali,138,4.00,0.06,0.26,1.04,0.21,0.39,0.12,0.19,1.79
Republic of the Congo,139,3.99,0.07,0.68,0.66,0.31,0.41,0.12,0.12,1.68
Comoros,140,3.96,0.05,0.24,0.79,0.36,0.23,0.20,0.17,1.96
Uganda,141,3.93,0.04,0.21,1.13,0.34,0.46,0.07,0.29,1.43
Senegal,142,3.90,0.04,0.36,0.98,0.44,0.37,0.11,0.21,1.44
Gabon,143,3.90,0.05,1.06,0.91,0.43,0.32,0.11,0.07,1.00
Niger,144,3.85,0.04,0.07,0.77,0.30,0.48,0.16,0.19,1.88
Cambodia,145,3.82,0.05,0.46,0.63,0.61,0.66,0.07,0.40,0.98
Tanzania,146,3.78,0.05,0.29,1.00,0.38,0.33,0.06,0.34,1.38
Madagascar,147,3.68,0.04,0.21,0.67,0.47,0.19,0.08,0.21,1.85
Central African Republic,148,3.68,0.06,0.08,0.00,0.07,0.49,0.08,0.24,2.72
Chad,149,3.67,0.04,0.34,0.76,0.15,0.24,0.05,0.18,1.94
Guinea,150,3.66,0.04,0.17,0.46,0.24,0.38,0.12,0.29,1.99
Ivory Coast,151,3.66,0.05,0.47,0.77,0.15,0.47,0.18,0.20,1.42
Burkina Faso,152,3.59,0.04,0.26,0.85,0.27,0.39,0.13,0.22,1.46
Afghanistan,153,3.58,0.03,0.32,0.30,0.30,0.23,0.10,0.37,1.95
Rwanda,154,3.47,0.03,0.22,0.77,0.43,0.59,0.55,0.23,0.67
Benin,155,3.34,0.04,0.29,0.35,0.32,0.48,0.08,0.18,1.63
Syria,156,3.01,0.05,0.66,0.47,0.72,0.16,0.19,0.47,0.33
Burundi,157,2.91,0.09,0.02,0.42,0.22,0.12,0.10,0.20,1.83
Togo,158,2.84,0.07,0.21,0.14,0.28,0.36,0.11,0.17,1.57
