Country,Happiness_Rank,Happiness_Score,Whisker_high,Whisker_low,GDP_per_Capita,Social_support,Healthy_Life_Expectancy,Freedom,Generosity,Trust,Dystopia_Residual
Colombia,36,6.36,6.45,6.26,1.07,1.40,0.60,0.48,0.15,0.05,2.62
Saudi Arabia,37,6.34,6.44,6.24,1.53,1.29,0.59,0.45,0.15,0.27,2.07
Trinidad and Tobago,38,6.17,6.38,5.95,1.36,1.38,0.52,0.52,0.33,0.01,2.05
Kuwait,39,6.11,6.19,6.02,1.63,1.26,0.63,0.50,0.23,0.22,1.64
Slovakia,40,6.10,6.18,6.02,1.33,1.51,0.71,0.30,0.14,0.02,2.10
Bahrain,41,6.09,6.18,6.00,1.49,1.32,0.65,0.54,0.17,0.26,1.66
Malaysia,42,6.08,6.18,5.99,1.29,1.28,0.62,0.40,0.42,0.07,2.00
Nicaragua,43,6.07,6.19,5.96,0.74,1.29,0.65,0.45,0.30,0.13,2.51
Ecuador,44,6.01,6.11,5.91,1.00,1.29,0.69,0.46,0.15,0.14,2.29
El Salvador,45,6.00,6.11,5.90,0.91,1.18,0.60,0.43,0.08,0.09,2.71
Poland,46,5.97,6.05,5.89,1.29,1.45,0.70,0.52,0.16,0.06,1.80
Uzbekistan,47,5.97,6.07,5.88,0.79,1.55,0.50,0.66,0.42,0.25,1.82
Italy,48,5.96,6.04,5.89,1.40,1.44,0.85,0.26,0.17,0.03,1.81
Russia,49,5.96,6.03,5.90,1.28,1.47,0.55,0.37,0.05,0.03,2.21
Belize,50,5.96,6.20,5.71,0.91,1.08,0.45,0.55,0.24,0.10,2.63
Japan,51,5.92,5.99,5.85,1.42,1.44,0.91,0.51,0.12,0.16,1.36
Lithuania,52,5.90,5.98,5.82,1.31,1.47,0.63,0.23,0.01,0.01,2.23
Algeria,53,5.87,5.98,5.77,1.09,1.15,0.62,0.23,0.07,0.15,2.57
Latvia,54,5.85,5.92,5.78,1.26,1.40,0.64,0.33,0.15,0.07,1.99
South Korea,55,5.84,5.92,5.75,1.40,1.13,0.90,0.26,0.21,0.06,1.88
Moldova,56,5.84,5.91,5.77,0.73,1.25,0.59,0.24,0.21,0.01,2.81
Romania,57,5.82,5.92,5.73,1.22,1.15,0.69,0.46,0.13,0.00,2.18
Bolivia,58,5.82,5.90,5.74,0.83,1.23,0.47,0.56,0.23,0.06,2.44
Turkmenistan,59,5.82,5.89,5.76,1.13,1.49,0.44,0.42,0.25,0.26,1.83
Kazakhstan,60,5.82,5.90,5.73,1.28,1.38,0.61,0.44,0.20,0.12,1.78
North Cyprus,61,5.81,5.90,5.72,1.35,1.19,0.83,0.47,0.27,0.16,1.55
Slovenia,62,5.76,5.84,5.67,1.34,1.45,0.79,0.57,0.24,0.05,1.31
Peru,63,5.72,5.81,5.62,1.04,1.22,0.63,0.45,0.13,0.05,2.21
Mauritius,64,5.63,5.73,5.53,1.19,1.21,0.64,0.49,0.36,0.04,1.70
Cyprus,65,5.62,5.71,5.53,1.36,1.13,0.84,0.36,0.27,0.04,1.62
Estonia,66,5.61,5.69,5.53,1.32,1.48,0.70,0.48,0.10,0.18,1.36
Belarus,67,5.57,5.65,5.49,1.16,1.44,0.64,0.30,0.16,0.16,1.72
Libya,68,5.53,5.68,5.37,1.10,1.36,0.52,0.47,0.15,0.09,1.84
Turkey,69,5.50,5.59,5.41,1.20,1.34,0.64,0.30,0.05,0.10,1.88
Paraguay,70,5.49,5.58,5.41,0.93,1.51,0.58,0.47,0.22,0.09,1.69
"Hong Kong S.A.R., China",71,5.47,5.55,5.39,1.55,1.26,0.94,0.49,0.37,0.29,0.55
Philippines,72,5.43,5.55,5.31,0.86,1.25,0.47,0.59,0.19,0.10,1.97
Serbia,73,5.39,5.49,5.30,1.07,1.26,0.65,0.21,0.22,0.04,1.95
Jordan,74,5.34,5.45,5.22,0.99,1.24,0.60,0.42,0.17,0.12,1.79
Hungary,75,5.32,5.40,5.24,1.29,1.34,0.69,0.18,0.08,0.04,1.72
Jamaica,76,5.31,5.58,5.04,0.93,1.37,0.64,0.47,0.23,0.06,1.61
Croatia,77,5.29,5.39,5.19,1.22,0.97,0.70,0.26,0.25,0.04,1.85
Kosovo,78,5.28,5.36,5.19,0.95,1.14,0.54,0.26,0.32,0.06,2.01
China,79,5.27,5.32,5.23,1.08,1.16,0.74,0.47,0.03,0.02,1.76
Pakistan,80,5.27,5.36,5.18,0.73,0.67,0.40,0.24,0.32,0.12,2.79
Indonesia,81,5.26,5.35,5.17,1.00,1.27,0.49,0.44,0.61,0.02,1.43
Venezuela,82,5.25,5.37,5.13,1.13,1.43,0.62,0.15,0.07,0.06,1.79
Montenegro,83,5.24,5.34,5.13,1.12,1.24,0.67,0.19,0.20,0.09,1.73
Morocco,84,5.24,5.32,5.15,0.88,0.77,0.60,0.41,0.03,0.09,2.46
Azerbaijan,85,5.23,5.30,5.17,1.15,1.15,0.54,0.40,0.05,0.18,1.76
Dominican Republic,86,5.23,5.35,5.11,1.08,1.40,0.57,0.55,0.19,0.11,1.32
Greece,87,5.23,5.33,5.13,1.29,1.24,0.81,0.10,0.00,0.04,1.75
Lebanon,88,5.22,5.32,5.13,1.07,1.13,0.74,0.29,0.26,0.04,1.70
Portugal,89,5.20,5.29,5.10,1.32,1.37,0.80,0.50,0.10,0.02,1.11
Bosnia and Herzegovina,90,5.18,5.28,5.09,0.98,1.07,0.71,0.20,0.33,0.00,1.89
Honduras,91,5.18,5.30,5.06,0.73,1.14,0.58,0.35,0.24,0.07,2.07
Macedonia,92,5.18,5.27,5.08,1.06,1.21,0.64,0.33,0.25,0.06,1.62
Somalia,93,5.15,5.24,5.06,0.02,0.72,0.11,0.60,0.29,0.28,3.12
Vietnam,94,5.07,5.15,5.00,0.79,1.28,0.65,0.57,0.23,0.09,1.46
Nigeria,95,5.07,5.21,4.94,0.78,1.22,0.06,0.39,0.23,0.03,2.37
Tajikistan,96,5.04,5.11,4.97,0.52,1.27,0.53,0.47,0.25,0.15,1.85
Bhutan,97,5.01,5.08,4.94,0.89,1.34,0.50,0.50,0.47,0.17,1.14
Kyrgyzstan,98,5.00,5.09,4.92,0.60,1.39,0.55,0.45,0.43,0.04,1.54
Nepal,99,4.96,5.07,4.86,0.48,1.18,0.50,0.44,0.39,0.07,1.89
Mongolia,100,4.95,5.02,4.89,1.03,1.49,0.56,0.39,0.34,0.03,1.11
South Africa,101,4.83,4.93,4.73,1.05,1.38,0.19,0.48,0.14,0.07,1.51
Tunisia,102,4.80,4.88,4.73,1.01,0.87,0.61,0.29,0.05,0.09,1.89
Palestinian Territories,103,4.78,4.88,4.67,0.72,1.16,0.57,0.25,0.11,0.09,1.88
Egypt,104,4.74,4.83,4.64,0.99,1.00,0.52,0.28,0.13,0.11,1.70
Bulgaria,105,4.71,4.80,4.62,1.16,1.43,0.71,0.29,0.11,0.01,1.00
Sierra Leone,106,4.71,4.85,4.57,0.37,0.98,0.01,0.32,0.29,0.07,2.67
Cameroon,107,4.70,4.80,4.59,0.56,0.95,0.13,0.43,0.24,0.05,2.33
Iran,108,4.69,4.80,4.59,1.16,0.71,0.64,0.25,0.39,0.05,1.50
Albania,109,4.64,4.75,4.54,1.00,0.80,0.73,0.38,0.20,0.04,1.49
Bangladesh,110,4.61,4.69,4.53,0.59,0.74,0.53,0.48,0.17,0.12,1.98
Namibia,111,4.57,4.77,4.38,0.96,1.10,0.34,0.52,0.08,0.09,1.48
Kenya,112,4.55,4.66,4.45,0.56,1.07,0.31,0.45,0.44,0.06,1.65
Mozambique,113,4.55,4.77,4.33,0.23,0.87,0.11,0.48,0.32,0.18,2.36
Myanmar,114,4.55,4.61,4.48,0.37,1.12,0.40,0.51,0.84,0.19,1.12
Senegal,115,4.53,4.60,4.47,0.48,1.18,0.41,0.38,0.18,0.12,1.79
Zambia,116,4.51,4.64,4.38,0.64,1.00,0.26,0.46,0.25,0.08,1.83
Iraq,117,4.50,4.62,4.37,1.10,0.98,0.50,0.29,0.20,0.11,1.32
Gabon,118,4.47,4.56,4.37,1.20,1.16,0.36,0.31,0.04,0.08,1.32
Ethiopia,119,4.46,4.54,4.38,0.34,0.86,0.35,0.41,0.31,0.17,2.02
Sri Lanka,120,4.44,4.55,4.33,1.01,1.26,0.63,0.56,0.49,0.07,0.42
Armenia,121,4.38,4.47,4.29,0.90,1.01,0.64,0.20,0.08,0.03,1.52
India,122,4.32,4.37,4.26,0.79,0.75,0.46,0.47,0.23,0.09,1.52
Mauritania,123,4.29,4.38,4.21,0.65,1.27,0.29,0.10,0.20,0.14,1.65
Republic of the Congo,124,4.29,4.41,4.17,0.81,0.83,0.29,0.44,0.12,0.08,1.72
Georgia,125,4.29,4.37,4.20,0.95,0.57,0.65,0.31,0.05,0.25,1.50
Democratic Republic of the Congo,126,4.28,4.36,4.20,0.09,1.23,0.19,0.24,0.25,0.06,2.22
Mali,127,4.19,4.27,4.11,0.48,1.28,0.17,0.31,0.18,0.10,1.67
Ivory Coast,128,4.18,4.28,4.08,0.60,0.90,0.05,0.45,0.20,0.13,1.84
Cambodia,129,4.17,4.28,4.06,0.60,1.01,0.43,0.63,0.39,0.07,1.04
Sudan,130,4.14,4.35,3.93,0.66,1.21,0.29,0.01,0.18,0.09,1.69
Ghana,131,4.12,4.22,4.02,0.67,0.87,0.30,0.42,0.26,0.03,1.58
Ukraine,132,4.10,4.19,4.01,0.89,1.39,0.58,0.12,0.27,0.02,0.81
Uganda,133,4.08,4.20,3.97,0.38,1.13,0.22,0.44,0.33,0.06,1.53
Burkina Faso,134,4.03,4.12,3.94,0.35,1.04,0.22,0.32,0.25,0.12,1.73
Niger,135,4.03,4.11,3.94,0.16,0.99,0.27,0.36,0.23,0.14,1.87
Malawi,136,3.97,4.08,3.86,0.23,0.51,0.32,0.47,0.29,0.07,2.08
Chad,137,3.94,4.03,3.84,0.44,0.95,0.04,0.16,0.22,0.05,2.07
Zimbabwe,138,3.88,3.98,3.77,0.38,1.08,0.20,0.34,0.19,0.10,1.60
Lesotho,139,3.81,4.04,3.57,0.52,1.19,0.00,0.39,0.16,0.12,1.43
Angola,140,3.80,3.95,3.64,0.86,1.10,0.05,0.00,0.10,0.07,1.61
Afghanistan,141,3.79,3.87,3.71,0.40,0.58,0.18,0.11,0.31,0.06,2.15
Botswana,142,3.77,3.87,3.66,1.12,1.22,0.34,0.51,0.10,0.10,0.38
Benin,143,3.66,3.75,3.57,0.43,0.44,0.21,0.43,0.21,0.06,1.89
Madagascar,144,3.64,3.71,3.57,0.31,0.91,0.38,0.19,0.21,0.07,1.58
Haiti,145,3.60,3.73,3.47,0.37,0.64,0.28,0.03,0.49,0.10,1.70
Yemen,146,3.59,3.69,3.49,0.59,0.94,0.31,0.25,0.10,0.06,1.35
South Sudan,147,3.59,3.73,3.46,0.40,0.60,0.16,0.15,0.29,0.12,1.88
Liberia,148,3.53,3.65,3.41,0.12,0.87,0.23,0.33,0.27,0.04,1.67
Guinea,149,3.51,3.58,3.43,0.24,0.79,0.19,0.35,0.26,0.11,1.55
Togo,150,3.49,3.59,3.40,0.31,0.43,0.25,0.38,0.20,0.10,1.84
Rwanda,151,3.47,3.54,3.40,0.37,0.95,0.33,0.58,0.25,0.46,0.54
Syria,152,3.46,3.66,3.26,0.78,0.40,0.50,0.08,0.49,0.15,1.06
Tanzania,153,3.35,3.46,3.24,0.51,1.04,0.36,0.39,0.35,0.07,0.62
Burundi,154,2.90,3.07,2.74,0.09,0.63,0.15,0.06,0.20,0.08,1.68
Central African Republic,155,2.69,2.86,2.52,0.00,0.00,0.02,0.27,0.28,0.06,2.07
